Deadline [s], Deadline [min], Reneging Rate r, Mean, Variance, Left Value, Right Value
1200,20,0.05,19.2716,9.4792,18.9501,19.5931
1320,22,0.0455,17.4124,6.5875,17.1444,17.6804
1500,25,0.04,15.6801,4.6099,15.4559,15.9043
1980,33,0.0303,13.1586,2.2966,13.0003,13.3168
2400,40,0.025,11.9162,1.3264,11.7959,12.0364
2700,45,0.0222,11.6556,1.3482,11.5344,11.7768
3000,50,0.02,11.3932,0.9835,11.2896,11.4968
3300,55,0.0182,11.2965,0.8439,11.2006,11.3925
3600,60,0.0167,11.3049,0.8414,11.2092,11.4007
3900,65,0.0154,11.3519,0.7559,11.2611,11.4427
4200,70,0.0143,11.4074,0.7208,11.3187,11.496
4500,75,0.0133,11.5152,0.7807,11.423,11.6075
4800,80,0.0125,11.581,0.7003,11.4936,11.6683
5100,85,0.0118,11.6713,0.7107,11.5833,11.7593
5400,90,0.0111,11.7325,0.6433,11.6488,11.8163
5700,95,0.0105,11.7629,0.6968,11.6758,11.8501
6000,100,0.01,11.9558,0.8174,11.8614,12.0502
6600,110,0.0091,11.9932,0.8195,11.8987,12.0877
7200,120,0.0083,12.1565,0.7125,12.0683,12.2446
7800,130,0.0077,12.2912,0.7693,12.1996,12.3828
8400,140,0.0071,12.3279,0.7245,12.2388,12.4169
9000,150,0.0067,12.4324,0.8541,12.3356,12.5293
